"ID","value","group","metric"
18,45.3,"Cranial","ext-L External Length"
18,63.1,"Cranial","ext-B External Breadth (ecm-ecm)"
18,180,"Cranial","L Maximum Length"
18,137,"Cranial","B Maximum Breadth"
18,138,"Cranial","H' Basi-Bregmatic Height"
18,105,"Cranial","LB Basi-Nasal Length"
18,310,"Cranial","BQ' Transverse Biporial Arc"
18,130,"Cranial","S1 Frontal Arc"
18,140,"Cranial","S2 Parietal Arc"
18,100,"Cranial","S3 Occipital Arc"
18,113.2,"Cranial","S1' Frontal Chord"
18,122.7,"Cranial","S2' Parietal Chord"
18,91,"Cranial","S3' Occipital Chord"
18,523,"Cranial","U Max. Circumference"
18,107.7,"Cranial","Biast B Biasterionic Breadth"
18,34.3,"Cranial","FL Foraminal Length"
18,32,"Cranial","FB Foraminal Breadth"
18,95.7,"Cranial","ec-ec Bi-Orbital Breadth"
18,103.6,"Cranial","fmt-fmt Upper Facial Breadth"
18,124,"Cranial","PBH Porion-Bregma Height R"
18,123,"Cranial","PBH Porion-Bregma Height L"
18,30,"Mandibular","H1 Symphyseal Height"
18,93.2,"Mandibular","GoGo Bigonial Breadth"
18,48.2,"Mandibular","ZZ Biforamen Breadth"
18,135,"Mandibular","M< Mandibular Angle"
18,29.5,"Mandibular","RB' Minimum Ramus B L"
18,54,"Mandibular","RH Ramus Height R"
18,119.6,"Post-Cranial","SaL"
18,112.2,"Post-Cranial","SaB"
18,41.5,"Post-Cranial","BW"
18,415,"Post-Cranial","FeL1 R"
18,140.4,"Post-Cranial","CLL1 R"
18,34.3,"Post-Cranial","GLL R"
18,23.7,"Post-Cranial","GLB R"
18,306,"Post-Cranial","HuL1 R"
18,41.3,"Post-Cranial","HuHD R"
18,18.9,"Post-Cranial","HuD1 R"
18,15.1,"Post-Cranial","HuD2 R"
18,58,"Post-Cranial","HuC R"
18,50.9,"Post-Cranial","HuE1 R"
18,229,"Post-Cranial","RaL R"
18,19.4,"Post-Cranial","RaHD R"
18,243,"Post-Cranial","ULL1 R"
18,50,"Post-Cranial","TaL L"
18,24.3,"Post-Cranial","FeD1 R"
18,25,"Post-Cranial","FeD1 L"
18,27.4,"Post-Cranial","FeD2 R"
18,30.8,"Post-Cranial","FeD2 L"
18,24.8,"Post-Cranial","FeD3 R"
18,24.9,"Post-Cranial","FeD4 R"
18,79,"Post-Cranial","FeC R"
18,72.6,"Post-Cranial","FeE R"
18,348,"Post-Cranial","TiL1 R"
18,352,"Post-Cranial","TiL1 L"
18,347,"Post-Cranial","TiL2 R"
18,351,"Post-Cranial","TiL2 L"
18,27.2,"Post-Cranial","TiD1 R"
18,27.9,"Post-Cranial","TiD1 L"
18,21.9,"Post-Cranial","TiD2 R"
18,22.9,"Post-Cranial","TiD2 L"
18,66.8,"Post-Cranial","TiE R"
18,65.3,"Post-Cranial","TiE L"
18,342,"Post-Cranial","FiL1 R"
18,78.2,"Post-Cranial","CaL R"
18,77,"Post-Cranial","CaL L"
18,51.2,"Post-Cranial","TaL R"
18,39.7,"Post-Cranial","FeHD L"
18,412,"Post-Cranial","FeL2 R"
18,40.2,"Post-Cranial","FeHD R"
18,33,"Cranial","G'2 Palatal Breadth (end-end)"
19,137,"Cranial","S1 Frontal Arc"
19,113.1,"Cranial","S1' Frontal Chord"
19,31.6,"Cranial","FL Foraminal Length"
19,31.9,"Cranial","FB Foraminal Breadth"
19,109.5,"Cranial","fmt-fmt Upper Facial Breadth"
19,104,"Mandibular","ML Maximum Length"
19,117.9,"Mandibular","W1 Bicondylar Width"
19,28.6,"Mandibular","H1 Symphyseal Height"
19,98.4,"Mandibular","GoGo Bigonial Breadth"
19,41.1,"Mandibular","ZZ Biforamen Breadth"
19,113,"Mandibular","M< Mandibular Angle"
19,28.8,"Mandibular","RB' Minimum Ramus B R"
19,29.3,"Mandibular","RB' Minimum Ramus B L"
19,58.9,"Mandibular","CrH Coronoid Height R"
19,58.8,"Mandibular","CrH Coronoid Height L"
19,61.1,"Mandibular","RH Ramus Height R"
19,59.6,"Mandibular","RH Ramus Height L"
19,98.1,"Post-Cranial","SaL"
19,122,"Post-Cranial","SaB"
19,53.5,"Post-Cranial","BW"
19,433,"Post-Cranial","FeL1 R"
19,439,"Post-Cranial","FeL1 L"
19,143,"Post-Cranial","CLL1 R"
19,39.2,"Post-Cranial","GLL R"
19,27.6,"Post-Cranial","GLB R"
19,307,"Post-Cranial","HuL1 R"
19,41.2,"Post-Cranial","HuHD R"
19,57.4,"Post-Cranial","HuE1 R"
19,224,"Post-Cranial","RaL R"
19,20.6,"Post-Cranial","RaHD R"
19,20,"Post-Cranial","RaHD L"
19,246,"Post-Cranial","ULL1 R"
19,240,"Post-Cranial","ULL1 L"
19,48.7,"Post-Cranial","TaL L"
19,27,"Post-Cranial","FeD1 R"
19,32.6,"Post-Cranial","FeD2 R"
19,26.9,"Post-Cranial","FeD3 R"
19,26.8,"Post-Cranial","FeD3 L"
19,24.6,"Post-Cranial","FeD4 R"
19,23.4,"Post-Cranial","FeD4 L"
19,86,"Post-Cranial","FeC R"
19,83,"Post-Cranial","FeC L"
19,75.9,"Post-Cranial","CaL R"
19,76.1,"Post-Cranial","CaL L"
19,48.5,"Post-Cranial","TaL R"
19,429,"Post-Cranial","FeL2 R"
19,433,"Post-Cranial","FeL2 L"
19,41.5,"Post-Cranial","FeHD R"
20,89.4,"Cranial","GB Bimaxillary Breadth"
20,20.2,"Cranial","NB Nasal Breadth"
20,8.4,"Cranial","SC Simotic Chord"
20,20.1,"Cranial","DC Bi-Dacryonic Chord"
20,37,"Cranial","DA Bi-Dacryonic Arc"
20,46.2,"Cranial","G'1 Palatal Length (st-o)"
20,53.4,"Cranial","ext-L External Length"
20,36.1,"Cranial","O'1 Orbital Breadth R"
20,185,"Cranial","L Maximum Length"
20,143,"Cranial","B Maximum Breadth"
20,135,"Cranial","H' Basi-Bregmatic Height"
20,97,"Cranial","LB Basi-Nasal Length"
20,121.5,"Cranial","J Bizygomatic Breadth"
20,91,"Cranial","GL Basi-Alveolar Length"
20,322,"Cranial","BQ' Transverse Biporial Arc"
20,141,"Cranial","S1 Frontal Arc"
20,138,"Cranial","S2 Parietal Arc"
20,118,"Cranial","S3 Occipital Arc"
20,120.9,"Cranial","S1' Frontal Chord"
20,121.2,"Cranial","S2' Parietal Chord"
20,92.1,"Cranial","S3' Occipital Chord"
20,531,"Cranial","U Max. Circumference"
20,120.3,"Cranial","Biast B Biasterionic Breadth"
20,34.3,"Cranial","FL Foraminal Length"
20,33,"Cranial","FB Foraminal Breadth"
20,95.9,"Cranial","ec-ec Bi-Orbital Breadth"
20,103.1,"Cranial","fmt-fmt Upper Facial Breadth"
20,68.6,"Cranial","G'H Upper Facial Height"
20,38.6,"Cranial","O'1 Orbital Breadth L"
20,31.8,"Cranial","O'2 Orbital Length R"
20,32.2,"Cranial","O'2 Orbital Length L"
20,135,"Cranial","PBH Porion-Bregma Height R"
20,130,"Cranial","PBH Porion-Bregma Height L"
20,104,"Mandibular","ML Maximum Length"
20,27.9,"Mandibular","H1 Symphyseal Height"
20,99.2,"Mandibular","GoGo Bigonial Breadth"
20,41.4,"Mandibular","ZZ Biforamen Breadth"
20,115,"Mandibular","M< Mandibular Angle"
20,27.3,"Mandibular","RB' Minimum Ramus B R"
20,66.3,"Mandibular","CrH Coronoid Height R"
20,67.4,"Mandibular","RH Ramus Height R"
20,53.1,"Post-Cranial","BW"
20,469,"Post-Cranial","FeL1 R"
20,473,"Post-Cranial","FeL1 L"
20,41.6,"Post-Cranial","GLL R"
20,40.3,"Post-Cranial","GLL L"
20,321,"Post-Cranial","HuL1 R"
20,317,"Post-Cranial","HuL1 L"
